id,type,is_sar
6e1eb6b7,0,1
d330d10d,1,0
1d117d48,1,0
512c237e,0,0
f00e8329,0,1
8215ba31,0,0
dfc1102c,0,0
ff1e0e8e,1,0
28f43c4b,1,1
c94165cf,1,0
70256b89,0,0
54e6d566,0,0
4164c772,1,0
0baa4a22,1,1
d02b385c,1,0
872adce1,0,0
e759f1a9,0,0
aa307a55,0,0
11550b86,0,0
1ef0dfb3,0,0
132035d1,0,0
1c2a1573,1,0
41efa415,0,0
aa36af7f,0,0
522837d2,0,0
30aec0a5,0,0
e3700bb9,0,0
9c906556,0,0
8637de86,0,0
da65d526,0,0
4b5b8c4d,1,0
57e4d064,1,0
d97dbf00,0,1
eddfb932,0,0
4591ad53,0,1
fe19f970,0,0
916eead1,0,0
4b39d278,1,0
dfe80718,0,0
1054dfe6,0,0
9f85c5b5,1,0
4093d06e,0,0
3190f18d,1,0
682f32cc,0,0
dd5bcef5,1,0
e6649739,0,1
9bce1497,1,1
14f6d24f,1,0
f90c9a23,1,0
79b71d1f,0,0
7b8a8c9a,0,0
dd057328,0,0
3147a28a,1,0
4558118b,1,0
34571ce8,1,0
15dc001b,1,0
4e1b5e7d,1,0
55e2967b,0,0
cc668310,0,0
27c91669,0,0
708c7908,0,0
56d2bed9,1,0
0850e478,1,0
6a9d975d,1,0
fc03cd34,0,0
efdab432,0,0
2f7845d6,0,0
3b9f661f,1,0
b851967f,1,0
e4e2df55,0,0
ce72d7eb,1,0
41052991,1,0
a1b4f889,0,1
dc207259,1,0
92cf8d33,0,1
c28e92c3,1,1
bafb9ca4,0,0
96a6f36f,0,0
9614844a,0,0
dc5b914d,1,0
edfe718c,0,1
b1919a9c,0,1
6293903c,1,1
9b7e179d,1,1
6a261add,0,0
01f0dec8,0,0
4f413245,0,0
7b930cdf,1,0
6e8b29b0,0,0
9d4c6200,0,1
ebb66c33,1,0
42f6361f,1,0
1d666c89,1,0
a978d9e3,0,0
40b5dc41,0,0
d288e3e6,1,0
ecc461e1,0,0
8807cd85,1,0
1a323eb1,1,0
95747e14,1,0
ce7d830e,1,0
2b39bb15,0,0
52e66c0a,0,0
c2e5732c,1,0
8adff64d,0,0
bcbd22d7,0,0
0d692eec,0,0
500959a3,0,0
45a3420f,0,0
3c68aa98,1,0
24cc82a0,0,0
def0472d,1,0
3bfd856f,0,0
3eb1c62b,1,0
7e1b78eb,1,0
e20391a8,1,0
903efbc8,0,0
eb6993f4,1,0
299f918d,1,0
dac9df1a,1,0
1da25136,1,0
27ed533c,0,0
2909d27e,1,0
274ba646,0,0
09ff06e2,1,0
1fb9cdc2,1,0
bf7b4610,1,0
4c993192,1,0
6c352fc4,1,0
9b0d0ebc,1,0
724626d5,1,0
1f3d069c,1,0
79220588,0,0
6a2409f9,0,0
62d150c2,1,0
2d76caaa,1,0
2e531b15,0,0
fc70127e,1,0
8426d482,1,0
85c9be3e,1,0
0dff90bb,0,1
b608b308,0,0
e2d25ae6,1,0
19863e58,0,1
071ef7d3,0,1
7f60ae37,1,0
cfb8de92,1,0
b6872361,1,1
37375c3a,1,0
842d6eca,1,0
25234825,0,0
bbeedf24,1,0
a4cab67a,1,0
641b6660,0,0
559e12ec,1,0
725b3c5d,0,0
2c0f0152,1,0
03b10237,1,0
c15441f8,0,0
b7e6a8cd,0,0
ebe8de4d,1,0
d953812e,1,0
97991836,0,1
35bb7252,0,0
3fc3042d,0,0
f72070ab,0,1
e97038ba,1,0
ada20247,1,0
5c7e252e,1,0
b68e644f,0,0
ab1953cd,0,1
deacd409,1,0
23ae80c0,0,0
d207c4c7,0,1
af6c0de2,1,0
8263b34d,1,0
e67844f8,1,0
f6ea14bc,0,0
e7fde8a9,0,0
411cedbd,1,0
8a844bbe,1,0
3db27959,0,0
d0947c2f,0,0
9e3636de,0,0
9898eb39,1,0
70776ae8,1,0
a2dd0d2c,0,0
cedec6fd,1,0
490a316a,1,0
bb1bf127,0,0
b0a79385,1,0
6511fda5,0,0
150d8281,1,0
1b54e7bb,1,0
b5034f87,1,0
49950ead,0,0
90abf6a7,0,0
15493cbe,1,0
82bc8caf,0,0
dc7840e4,1,0
988b51a7,0,1
d60dfc3b,0,0
25c16407,1,0
9bb2947a,0,0
46666f64,1,0
fe39d4f4,1,0
bd68e9c5,0,0
72a5ed1c,1,0
c0e05905,0,0
d63632dd,1,1
992ab973,1,0
dc0167f3,0,0
557abf54,0,0
b90c48b1,0,0
7aabc21f,0,0
5dda1682,0,0
69edbb36,1,1
eaa8e8b0,1,0
f6c9c227,0,1
eaceba9b,0,1
eba25af9,1,0
9bc77472,1,0
8bfaa4cb,0,0
4a8d531e,1,0
b3060051,1,0
4f1cb3ac,0,0
a0ee4f28,1,0
6f03d127,0,0
eb8828f6,0,0
f3b51c81,0,0
84992594,1,0
7b8ba398,1,0
bef23416,1,0
da558e54,0,0
08ce5a67,1,0
ea10a7f9,1,0
1a7c146f,0,0
878a3e38,1,0
4a5d916d,1,0
afb14d26,1,0
9e9c8d1a,0,0
2037c9c9,0,0
0d64dd55,1,0
1b69c523,1,0
4aecc89b,0,0
fc5eb889,0,0
c26ff8d1,1,0
0e98abb5,0,0
79543cf3,1,0
e8677534,1,0
3114cd8c,1,0
ae39e231,1,0
b1d20498,1,0
570c258c,0,0
0313fdb4,1,0
17dbae8a,1,0
f7514735,0,0
e609acfc,0,0
d3eaca3c,0,0
dc864752,0,0
322ff98c,1,0
f28f4745,0,0
c8a642a5,1,0
9bdada85,1,0
855d1d66,0,0
874c3622,1,1
c410281e,1,0
0ad7e1ed,1,0
ee5f6f7a,0,0
b2024970,0,0
2a4763fa,0,0
afbbf23d,1,0
bce666b5,1,1
3e1fc608,1,0
2ebd281a,0,0
17bf74a8,1,0
998ad60e,0,0
53017d55,1,0
c143ba76,1,0
7cd1c26f,0,0
9b14d03a,1,0
4c2713ae,1,0
67ede1c7,1,0
cee2e40a,0,0
dc209585,0,0
8a8aec6d,0,0
4b97bc87,0,0
d2ba953e,1,0
10aff8a1,1,0
9025c4da,1,0
3ffff1db,1,0
49e8da28,1,0
058ec162,1,0
b34cc98d,1,0
163fafca,0,0
b1df1752,0,0
caeacab9,0,0
7c945dea,1,1
23465983,0,0
c5d0e6ca,0,1
d650a8f9,1,0
9d1ae08e,0,0
8c411954,0,0
227525b4,1,0
c53586f2,0,1
b191e6d1,1,1
70408aef,0,1
0075d230,1,0
1e3af66f,0,0
f2a1a190,1,0
d195d055,0,0
ae61aa75,0,0
955d5ac9,0,0
3e09d781,0,1
c1ea6d56,0,0
3ff4c3f0,0,0
5f82e2c3,0,0
9519083b,0,0
9d2560fa,1,0
28b76694,0,0
214ae743,0,1
99c209f7,1,0
1bfebb6c,1,0
0a61ed45,1,0
149a4cb0,0,0
e40c117f,0,0
1a53315a,0,0
97b3029f,1,0
bf371236,1,0
b73607f8,1,0
992b399a,1,0
07c39f9a,1,0
b5fca686,0,0
1269d6c1,1,0
847a9cf6,1,0
109b820b,0,0
65752867,1,1
4d94d4ef,0,0
82983aca,1,0
8c5cf01f,0,0
fec7d28c,1,0
d6157ac1,1,1
b9271281,0,0
1309dce5,0,0
200cead7,1,1
d8868f46,1,0
98c6a2bb,0,0
04a2cf64,1,0
105311ef,1,0
dbedfe41,0,0
2a39b731,1,0
486cb841,1,0
e6398b42,0,0
e765c997,0,0
e9e2d5c2,0,0
529a2413,0,0
33c29148,0,0
d2e39418,1,0
df8d602b,1,0
2d0bad79,0,1
f1c119ed,1,0
7b4a83a2,0,0
4d5ca4a2,0,0
b3b8e7c7,0,0
dbbc4edb,1,0
e7d7913f,1,0
d01ca843,1,0
37ff2000,0,0
4772c7c6,1,0
b1972e82,1,0
ae885a15,1,0
1034c934,1,0
ba8fee40,0,0
def3c706,1,0
416cfb9c,1,0
f0a43d23,0,0
7dd6469b,1,0
c1bcb12b,0,0
3c9cbb4e,1,0
a21c7880,1,0
dfa265c7,0,0
947d4e5b,1,1
f0996212,0,0
e79c94d7,0,0
21bb6df1,0,0
04821f9d,1,1
abb34623,0,1
4b15bd5b,0,0
b64269f0,1,0
d4cb0508,1,1
ce026db9,1,0
194c3a31,1,0
75eb69c3,0,0
2939d184,0,0
0dcbb643,1,0
d8def6fe,1,0
7c14c441,0,0
09decec8,0,1
f896a806,0,0
6bba4972,1,0
034ef487,0,1
299ab0fd,0,0
c82264fd,0,0
fd166006,1,1
511ad39b,0,0
211b2a73,1,0
07f19654,1,0
02bd43d6,1,0
067e3049,0,0
855165ef,0,0
74d59974,1,0
9093c0a9,1,0
e443cb3b,1,0
601c1baf,0,0
5cc91626,0,1
913126cb,1,0
3c4c1da2,1,0
014ed5cb,0,0
ecaba057,0,0
37676dbc,1,1
e6236f9c,0,0
dab9e83e,1,0
a988a314,1,0
67bd4266,1,0
3f720f20,1,0
6d1612bd,1,0
bc0de3c7,1,0
8d8099bc,0,0
1a029d73,1,0
73b2e091,0,1
ed45e247,0,0
35b9a654,1,0
4ebfcec2,1,0
7ba441f7,1,0
fbc5ada0,0,0
ece706af,1,0
0dee6570,1,0
921c6171,1,0
cabebc21,0,0
b8fad211,0,0
f543ae46,1,0
95b55fd9,1,0
0c535264,0,0
958d76ab,1,0
f69f36f5,1,0
cf946cec,0,0
cdbfd2d6,1,0
ea5fdff1,0,0
5fb14b4b,0,0
8f8c62fa,0,1
526457fe,0,0
a0033f4d,1,0
6547025b,0,0
0f2917da,0,0
7c07c774,0,0
865969d8,1,1
45c84f55,1,0
70d4ad1c,1,0
b1142599,0,0
42fdcf71,1,0
afce3cac,1,0
518fc2fd,0,1
e8cf21e8,0,0
e17a729f,1,0
33124340,0,0
5880cc18,1,0
3d6a03a3,1,0
516d1518,0,0
3beababc,0,0
3aed521a,0,0
b2082ca9,1,0
c706b534,1,0
a1c25c6b,0,0
bfb7d695,0,0
76dda998,1,0
89a0aee7,1,0
dbacbba4,0,0
ed9cff27,0,0
8412fe49,0,0
6bc94630,1,0
9cbaf28b,0,1
1e768105,0,0
5d25dc31,1,0
b8678ae6,1,0
1822f2df,1,0
0054a022,0,0
4cc60025,1,0
54e8ab44,1,0
0ac7b85a,0,1
9cb3115a,0,0
6a5ef126,1,0
d8f7081c,1,1
b064f14a,1,0
d24be0ed,1,0
fa194022,1,0
dd3c467d,0,1
13a13a24,0,0
10d88bc4,0,0
1c3e7581,0,0
c9c69241,1,0
12321d9c,0,0
313f785e,0,0
6f51921a,0,0
92219ee0,0,0
bcfe444f,0,0
579544ea,0,1
40f29543,1,0
b47c3269,1,0
4947ea2c,1,0
7b3c2e85,1,0
f57254a9,1,0
77c0aa7b,0,0
90624898,1,0
07b476cc,1,0
995ecfa1,1,0
d5339cd8,0,0
b76fd882,0,0
5422f61c,0,0
10987e1f,1,0
6fcaa9d1,1,0
18495c67,0,0
529abce2,1,0
593001dd,1,0
dae3e363,0,0
2013a232,0,0
b229da1a,0,0
bb2d35ed,1,1
5acf323c,0,0
cb2d4380,1,0
a342fe56,1,0
16486312,0,0
ca661657,1,0
70f7976c,0,0
3bb2e994,1,1
299eff85,0,0
c98cfa15,1,0
aff19471,0,0
f8a43b9c,1,0
ccaf4eff,0,0
1a1eb663,0,0
76094614,0,0
876d4e8b,1,0
8909a2c5,1,0
21b0576a,1,0
cf058b20,0,0
53bc4a72,1,0
82408b2f,1,0
7217b7ec,0,0
8a336a7f,1,0
09b2175a,0,0
35a257c3,0,1
58838ab8,1,0
1cf5e6b5,0,0
28635253,1,0
21f444dd,0,0
3d02cee2,0,0
8875b125,1,0
05a00e3a,0,0
6a3aa904,0,0
4bbc3e05,1,0
03887308,0,0
166e23c3,0,1
5ecf56c9,1,0
e1391469,0,0
787f30cd,0,1
fc046535,0,1
7678e2df,0,0
b9d2ac0c,0,0
271eb021,1,0
9f0ff6f7,0,1
b3c7b7cf,0,0
7f6229c9,1,0
fdacbf47,1,0
c2806c75,0,0
5406e26f,1,0
49c0a827,0,0
a6b206f3,1,0
c60aedc0,1,0
65b6ffc0,0,0
60a1d9a8,1,0
d09fa012,1,0
6dd434cb,1,0
1c5dcf35,1,0
c7ef642e,1,0
712ca597,1,0
62cfa0ba,0,0
e50fa0ec,0,0
fb001d07,0,1
432285b7,0,0
50f39dcb,0,0
5c777300,0,0
fb990b96,0,1
4deb9fd4,1,0
79446671,1,1
e92e1710,0,0
7bd2189a,1,0
ab5f6d3b,0,0
a15e67ca,0,0
622787e5,1,0
d294019e,0,0
5806d906,1,1
5d83c0f2,0,0
ac5e8b91,0,0
0e5aedb1,1,0
a31496d7,0,0
7645e23c,1,1
89588a3a,1,0
a01c1524,1,0
0ce5d025,0,0
57406be2,0,0
a7a807c9,0,0
8d60d7d1,0,0
ac210fa5,0,1
0618740c,0,0
0cc7efaf,0,0
e6a130e1,1,0
911fc886,1,0
407c9357,0,0
7c6555bf,0,0
8abfb28e,1,0
dc8fce66,0,0
4f4d55a6,1,0
2de20c8e,1,0
dd3e0e93,1,0
77c3826d,1,0
0787846d,1,0
a41407f5,0,1
c1006267,0,0
2ffa10f3,1,0
ff1fed62,1,0
03925c4f,1,0
87b6a9b8,1,0
2c9a38dc,1,1
971bf098,0,1
8fab72e6,0,1
75a90d1a,0,0
7bca43af,1,0
9e2962bb,0,0
d7ec8c1d,1,1
16fef692,1,0
8dd827b1,1,0
423311f7,1,1
4e3df01f,0,0
2324b11d,1,0
9f0b6bd0,0,0
1f85a34d,1,0
e4dfb764,1,0
7d09a812,1,1
60df5938,1,0
de29de83,0,0
26855faa,1,0
33d2a673,0,0
64f04018,0,0
e0e990e6,0,0
30878603,1,0
29b2d34d,1,0
517e3ff2,1,0
09b1dddb,0,0
8e479e96,1,0
2cb80548,1,0
29d89be4,0,0
642333c2,1,0
c0323d9c,0,0
950b22af,1,0
84dff94f,1,0
7af5e7d4,1,0
3be0b75f,0,1
9cd96b08,1,0
12a4e0ad,0,0
67f2b11e,1,0
273858d3,0,0
65258b7f,0,1
896eaf11,1,1
4b687394,0,0
7bef0c0e,1,0
ede0f860,1,0
87bc7af1,1,0
ea448524,1,0
5a9a8a52,0,0
0d66b79f,1,0
434e0429,1,1
c4f2955a,0,0
b95c8851,0,0
f6def59b,0,0
28c67662,0,0
8cb8ed34,1,0
d68f69ad,0,0
e9d44e45,1,0
46a7017c,0,0
9bc80053,0,0
aa64c0b4,1,0
b58cfeaf,0,0
3b7566ea,1,0
33ddf484,0,0
e669dc28,0,0
eb9c1faf,1,1
0d7cc5d5,1,0
cfe99357,0,0
9d04cf26,0,1
9e730aea,1,0
1f88d1a4,1,0
5231c334,0,1
da3d4ec8,1,0
eac8b9c1,0,1
ff6592ef,1,0
3f72c50f,0,0
b0015c42,0,0
11cc0c55,0,0
9aa0354e,1,0
2681d05c,1,0
f975f116,0,0
b8b5c6c6,1,0
d4e39db1,1,0
c07695f1,1,0
4bc1db89,0,0
176e0ab6,0,0
547c7869,0,0
ff87281a,1,1
4b5ddcd3,0,0
d055584d,0,0
ca6370bc,1,0
a31a16fb,1,0
e6f24292,1,0
7891a74e,0,0
6b7366a5,1,0
0c594c87,0,0
89b85dff,1,0
8c76d2de,0,0
10244e79,0,0
74926915,1,0
496cb7dc,1,0
6fb0e9c2,0,0
a787ff8b,0,0
9d7c8f90,1,0
0683ff6d,1,0
8bbafc5a,0,0
27800a68,0,0
2fae27c9,0,0
44eb5abe,1,0
bcb04ff7,1,1
a670af3d,0,1
929a17ff,1,0
3ecb55cc,1,1
7901f2a6,0,0
c628b45c,1,0
8684479b,1,0
41538a97,0,0
8911e130,0,0
968dd3f2,0,0
8349fdde,1,0
e2c3b4a2,1,0
78606899,0,0
68319ba4,1,0
58361f65,1,0
f326e935,0,0
2534b672,1,0
01660bff,1,0
c907aadb,0,0
c3ea5821,1,0
887343c2,1,0
58b18c9d,0,0
0965cea6,0,0
d2ebb2b0,0,0
1c274b28,0,0
3fd35831,1,0
725ef94b,0,0
23ead0a8,1,0
f9282470,1,0
13b1aab5,1,0
e652b9e2,0,0
ba895ba3,1,0
5a177c89,0,0
b96b9217,1,0
b94d266f,1,0
854240eb,0,0
fec49de2,1,0
9d757052,0,0
c3caff54,0,0
f28a2996,0,1
de83c8ec,1,0
f0730888,1,0
8a70f08a,1,1
b3c06943,1,0
2cc5cff6,0,0
2aa49d7f,1,0
9c95a3cb,1,0
49a39408,0,0
51b1cd26,0,0
701e290f,1,0
9b6985f6,1,0
1c663c29,1,1
42db9b5c,1,0
099e33e4,0,1
19f5194d,1,0
2f3d76b0,1,0
5769d6a9,0,1
b2eacf84,0,0
72a23776,0,0
af7e9ded,0,0
3aafe1eb,1,0
e49c9d44,0,0
979f0f98,1,0
3807717e,1,0
fbb061f4,1,0
0218d799,0,1
a3185302,0,0
b27d0614,1,0
ac2bde9d,1,0
46775955,0,0
6dc1f962,1,0
2a95d45b,0,0
deb9110f,0,0
4cc0a4df,1,0
e3f235bf,1,0
d7e6f5d6,0,0
3dc8a3f4,1,0
894e7d3c,0,0
05b93a98,1,0
d88d5ec5,1,0
32e1a821,0,1
01b16a2d,0,1
b19abe64,1,0
c06e5ed1,0,0
8c510806,1,0
dd31d2dc,0,0
117fa2bc,1,0
48420f70,1,0
f88d9d7e,1,0
2c11d010,0,0
810c189d,0,0
c013c8e7,1,1
9e272986,1,0
e60bb520,0,0
cdba8321,0,0
4745de1d,0,0
72a346d7,0,0
becb00ea,1,0
0793769f,0,0
80eeed8a,1,0
80e847dc,0,0
db6f4a89,1,0
c69ed9d3,0,0
66fce6f2,0,0
5281c11b,1,0
abb8f786,0,0
e732128b,0,0
9f157af5,0,0
26b35462,0,0
23e8e404,1,0
bda070a1,1,0
3ff736d6,1,0
76a1f9a4,0,0
bfc667ef,1,0
52a09b8e,0,0
d326e6ca,0,0
003cd8f3,0,0
6023d055,1,0
ad7df318,1,0
cb3c77c2,1,0
fbbbbf79,1,0
3ee51be7,0,0
25485ed0,1,0
a25f0648,0,0
8b744301,1,0
53ec742d,1,0
2e69660d,0,0
d152a1e9,0,0
9405ad27,1,0
c6601411,0,0
8fed767b,0,0
14b9cfbe,1,0
fca95d7d,1,0
e6366c50,1,0
354852be,0,0
a4179045,0,0
65094c90,0,0
06e8b02d,1,0
a32fca7e,0,0
1435c05a,0,0
43abc7d4,1,0
2572e7e9,0,0
e125d7ff,1,0
6481eaf9,0,0
26ab21b1,0,0
a546c855,0,0
b356646c,1,0
2549c85a,0,0
379fb4dd,0,0
306dcecf,1,1
ff546eca,1,0
02f98e21,1,0
f4420bca,0,0
2417c461,0,1
dd2aae70,1,0
d7fb69f9,0,0
c390cbce,0,0
abc48f12,0,1
e9d87023,1,0
60c2c590,1,1
